customer_id,customer_name,segment,industry,registration_date,last_purchase_date,lifetime_value,total_orders,avg_order_value,is_active,credit_limit,region,contact_email,phone
Customer_001,Company A Inc.,Enterprise,Technology,2024-10-12,2025-09-08,39066.28,7,5580.9,True,53101.59,South,contact1@company1.com,+1-555-709-7623
Customer_002,Company B Inc.,Enterprise,Manufacturing,2024-06-03,2025-09-07,14932.78,6,1066.63,True,21246.58,Central,contact2@company2.com,+1-555-707-5472
Customer_003,John Doe 3,Individual,Manufacturing,2023-09-24,2025-09-21,384.4,9,54.91,True,753.46,West,contact3@company3.com,+1-555-623-5569
Customer_004,Company D Inc.,SMB,Technology,2023-03-06,2025-09-16,5239.02,11,1309.76,False,8337.76,South,contact4@company4.com,+1-555-743-3205
Customer_005,Company E Inc.,Enterprise,Education,2025-03-03,2025-08-27,20974.96,3,1498.21,False,26314.83,North,contact5@company5.com,+1-555-283-7269
Customer_006,Company F Inc.,Startup,Finance,2024-11-14,2025-06-20,504.94,6,84.16,True,644.84,North,contact6@company6.com,+1-555-776-9518
Customer_007,John Doe 7,Individual,Healthcare,2023-02-11,2025-06-14,328.63,7,82.16,True,525.25,Central,contact7@company7.com,+1-555-367-9887
Customer_008,Company H Inc.,Startup,Technology,2025-08-17,2025-09-06,752.47,12,75.25,True,1432.79,North,contact8@company8.com,+1-555-492-8374
Customer_009,Company I Inc.,Startup,Manufacturing,2023-08-14,2025-08-07,1033.42,7,86.12,True,1267.27,Central,contact9@company9.com,+1-555-775-5965
Customer_010,Company J Inc.,SMB,Manufacturing,2022-12-21,2025-09-05,6342.67,12,1585.67,False,11242.88,West,contact10@company10.com,+1-555-882-2792
Customer_011,John Doe 11,Individual,Manufacturing,2023-02-03,2025-09-03,136.07,9,19.44,True,180.29,North,contact11@company11.com,+1-555-500-5315
Customer_012,John Doe 12,Individual,Retail,2023-08-11,2025-07-30,170.07,5,34.01,True,308.37,East,contact12@company12.com,+1-555-428-2006
Customer_013,Company M Inc.,Enterprise,Healthcare,2025-06-22,2025-09-16,13462.63,9,1495.85,True,19912.59,Central,contact13@company13.com,+1-555-127-6591
Customer_014,John Doe 14,Individual,Manufacturing,2025-03-07,2025-08-18,214.0,5,17.83,True,317.98,East,contact14@company14.com,+1-555-157-5001
Customer_015,Company O Inc.,SMB,Education,2024-05-30,2025-09-11,2696.64,8,337.08,True,3419.22,North,contact15@company15.com,+1-555-989-5995
Customer_016,Company P Inc.,Enterprise,Healthcare,2023-11-01,2025-09-20,9104.23,10,1517.37,False,13300.32,West,contact16@company16.com,+1-555-773-7921
Customer_017,John Doe 17,Individual,Technology,2024-03-25,2025-09-20,270.34,9,90.11,True,451.58,East,contact17@company17.com,+1-555-486-7394
Customer_018,Company R Inc.,Startup,Manufacturing,2025-03-06,2025-09-14,1490.63,11,186.33,False,2593.82,East,contact18@company18.com,+1-555-608-9237
Customer_019,Company S Inc.,Startup,Retail,2024-10-16,2025-08-23,1542.43,8,192.8,True,3047.13,South,contact19@company19.com,+1-555-608-2234
Customer_020,Company T Inc.,SMB,Finance,2024-02-12,2025-06-08,5094.75,8,727.82,False,10174.12,West,contact20@company20.com,+1-555-923-4700
Customer_021,Company U Inc.,Enterprise,Retail,2025-03-12,2025-09-15,36238.98,10,4529.87,True,45437.01,Central,contact21@company21.com,+1-555-586-7997
Customer_022,Company V Inc.,SMB,Technology,2023-10-12,2025-09-17,3884.13,4,647.35,True,5598.88,East,contact22@company22.com,+1-555-543-9846
Customer_023,Company W Inc.,Startup,Manufacturing,2024-08-09,2025-08-28,1850.02,8,205.56,True,3144.98,West,contact23@company23.com,+1-555-787-9971
Customer_024,Company X Inc.,SMB,Education,2025-08-15,2025-08-13,5998.68,7,856.95,True,11338.52,Central,contact24@company24.com,+1-555-611-4489
Customer_025,John Doe 25,Individual,Education,2024-03-23,2025-09-19,816.41,10,102.05,True,1380.99,West,contact25@company25.com,+1-555-679-1981
Customer_026,Company Z Inc.,SMB,Manufacturing,2023-09-07,2025-07-14,2982.93,8,596.59,False,3938.6,East,contact26@company26.com,+1-555-964-8133
Customer_027,John Doe 27,Individual,Technology,2023-12-10,2025-09-20,161.6,10,12.43,True,303.3,East,contact27@company27.com,+1-555-943-5702
Customer_028,Company \ Inc.,SMB,Education,2024-04-15,2025-08-09,3908.16,12,558.31,True,5958.75,North,contact28@company28.com,+1-555-253-4144
